Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10
"Any[(Int32[2, 2, 2, 2, 3], 101)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3, 2, 2], 119), (Int32[3, 2, 2, 3], 102), (Int32[3, 2, 2, 3, 2], 3), (Int32[3, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3, 2, 2], 119), (Int32[3, 2, 2, 3], 102), (Int32[3, 2, 2, 3, 2], 3), (Int32[3, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3, 3], 35), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3, 3], 35), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3, 3], 35), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3, 3], 35), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]"
"Any[(Int32[3, 2, 2], 2)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2], 2), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]"
"Any[(Int32[2, 2], 42)]","Any[(Int32[2, 2, 2, 2, 3], 101), (Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2], 119), (Int32[2, 2, 2, 2, 3], 102), (Int32[2, 2, 2, 2, 3, 2], 3), (Int32[2, 2, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[2, 2, 2, 2, 3], 101), (Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2], 119), (Int32[2, 2, 2, 2, 3], 102), (Int32[2, 2, 2, 2, 3, 2], 3), (Int32[2, 2, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3, 2], 101), (Int32[2, 2, 2, 2, 3], 101), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]"
"Any[(Int32[], 112), (Int32[2, 3, 2, 2, 2], 2), (Int32[2, 2, 2, 2], 119), (Int32[2, 2, 2, 2], 4), (Int32[2, 2, 2, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 2], 102), (Int32[2, 2, 2, 2, 2, 2], 3), (Int32[2, 3, 2], 42), (Int32[2, 3, 2], 41), (Int32[2, 3, 2], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2], 2), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[2], 1), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]"
"Any[(Int32[3], 42)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2], 119), (Int32[3, 2, 2, 3], 102), (Int32[3, 2, 2, 3, 2], 3), (Int32[3, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[3, 2, 2, 3], 101), (Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2], 119), (Int32[3, 2, 2, 3], 102), (Int32[3, 2, 2, 3, 2], 3), (Int32[3, 2, 2], 4), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]","Any[(Int32[2, 2, 2, 2, 3, 2], 101), (Int32[3, 2, 2, 3], 101), (Int32[2, 2], 42), (Int32[2, 2], 41), (Int32[2, 2], 110), (Int32[3], 42), (Int32[3], 41), (Int32[3], 110)]"
